objectid,title,classification,iiifurl,is_portrait
4487,Una,Print,https://api.nga.gov/iiif/d05a5692-9e3d-42cb-b112-dd11cf57a03a,True
4551,Hombre Bueno,Print,https://api.nga.gov/iiif/bbffce42-a7ed-4d39-b705-9cf673b7cf33,True
4553,Errante,Print,https://api.nga.gov/iiif/eed4b496-d697-4e41-b3bc-4896f4713859,True
4554,Beethoven,Print,https://api.nga.gov/iiif/de52a855-cbaa-4451-88bf-4301b0443fa1,True
4555,Viejo Lobo,Print,https://api.nga.gov/iiif/4dc61843-ea55-4b89-94f6-644f0c56348e,True
4572,Fania,Print,https://api.nga.gov/iiif/7ffdd4a2-c691-49ca-af73-0c6af84ed345,True
4574,Cecco,Print,https://api.nga.gov/iiif/53c7bfd4-c029-4ff1-bff0-0ed1f82cd8fd,True
4604,Rachmaninoff,Print,https://api.nga.gov/iiif/ef5cf163-b69c-4d51-be45-67cf8db90575,True
4615,Eve,Print,https://api.nga.gov/iiif/f1e739a2-f37b-43e7-9127-fd45077d097c,True
4622,La Flore de le Gros,Print,https://api.nga.gov/iiif/0cf991c2-2743-45d0-8cb0-5ffc69bd70d4,True
4625,La Biarrote,Print,https://api.nga.gov/iiif/ed8be5ec-d291-4528-b5e7-3d6d8b2af54d,True
4630,Cardinal Mercier,Print,https://api.nga.gov/iiif/30a852e7-289a-45e6-8dce-18af30a9498b,True
4631,Self-Portrait,Print,https://api.nga.gov/iiif/ee380d02-5cb9-477e-8619-a3632acd0df9,True
4640,Portrait of a Young Man (V.H. Reinnier),Print,https://api.nga.gov/iiif/06743a5f-fd12-4707-b273-79aa0cad9db2,True
4646,Portrait of an Officer,Print,https://api.nga.gov/iiif/8b2f8ae7-3394-402a-a788-c7b13d3835a0,True
4649,Lucas Cranach,Print,https://api.nga.gov/iiif/e32700e2-3bfa-4775-8f70-bd409fba0316,True
4880,Florence Leyland,Print,https://api.nga.gov/iiif/910e521a-c6bb-4338-b7dd-5c6e2e178c9b,True
4996,John Caspar Lavater,Print,https://api.nga.gov/iiif/afb2f2d7-0fc1-4e99-9103-2d655d13fe00,True
5003,"Reverend Robert Hawker, D.D.",Print,https://api.nga.gov/iiif/d55c520d-f16e-4214-bdce-aedec305e878,True
5004,Wilson Lowry,Print,https://api.nga.gov/iiif/2a8e28fe-8334-47cc-adc3-b3cb908a0b4c,True
5097,"Mrs. Drummond, in a Shawl, to the Right",Print,https://api.nga.gov/iiif/ede9dade-49f6-4421-9b53-bba5e1d51df2,True
5103,Leonard Gow,Print,https://api.nga.gov/iiif/75904e46-9ae4-4cd3-a34a-4a123cd593db,True
5208,Joseph Conrad Listening to Music,Print,https://api.nga.gov/iiif/eaac2404-8c7d-43db-b1f0-2b3e88324532,True
5212,Mrs. Drummond and Another Head,Print,https://api.nga.gov/iiif/dd6c1dca-2abd-4b7e-bc49-86b45d21d6e0,True
5215,Frank Weitenkampf,Print,https://api.nga.gov/iiif/dfcff038-35d0-414c-9879-7d6e7adec2ae,True
5219,Dr. Eugene Noble,Print,https://api.nga.gov/iiif/66493a1e-93be-4df0-b1af-92523923dcc7,True
5221,Leonard Gow,Print,https://api.nga.gov/iiif/7e922698-e81d-4581-b305-d0698153734b,True
5226,Rabindranath Tagore,Print,https://api.nga.gov/iiif/ea12d4ec-927e-46c5-bc46-c29c443ac0fd,True
5230,Joseph Conrad,Print,https://api.nga.gov/iiif/81e6d0a9-6b21-4612-b2f2-486adc38859a,True
5232,George W. Davison - No. 1,Print,https://api.nga.gov/iiif/a6218152-88b2-401e-8093-adfb270e081c,True
5260,Charles Meryon,Print,https://api.nga.gov/iiif/66c85c91-04a8-419f-99cd-3757b0a6632d,True
5269,Cypriano,Print,https://api.nga.gov/iiif/3b47615e-8f0d-4a79-a411-24c919157d94,True
5270,Hans Brosamer,Print,https://api.nga.gov/iiif/83807db0-e312-41a0-80e3-eb683aff342e,True
5296,Croquis de femme en buste (Sketch of a Woman in Half-Length),Print,https://api.nga.gov/iiif/15dacb5c-8d71-489e-b5d0-40dcb79f9610,True
5367,"Claude Deruet and his Son, Jean",Print,https://api.nga.gov/iiif/dee6fa6e-f5d8-40d1-9cb3-d10d53c2be72,True
5394,The Veteran,Print,https://api.nga.gov/iiif/eff4a608-91d1-4bd4-89d3-0a9990d52f0c,True
5402,Old Age,Print,https://api.nga.gov/iiif/1b29478a-72c6-4404-9942-9286cd8cf4b2,True
5469,Father Ambrose,Print,https://api.nga.gov/iiif/9c5142cd-9dc7-49a2-b028-f4c27a98b513,True
5475,Jean: A Portrait,Print,https://api.nga.gov/iiif/5e1f3766-98d1-4bbe-883b-7a7b6d7da724,True
5736,Veronica,Print,https://api.nga.gov/iiif/1222bd58-2f15-47c8-b122-2708dc860fac,True
5739,Paolo Salviati,Print,https://api.nga.gov/iiif/cca807bb-cb7f-42a4-a1cc-d622ac233bb4,True
5772,A Dutch Damsel,Print,https://api.nga.gov/iiif/37ce70fd-ca80-41b2-951f-13e7ed19232f,True
5781,A Lady of Holland,Print,https://api.nga.gov/iiif/69284445-345d-43e2-83c1-31896fcb3e90,True
5909,Paul Verlaine,Print,https://api.nga.gov/iiif/771e5d66-de08-4279-a772-b97b65ddf05b,True
